Video,Duong dan,Thoi gian,Bien so
1,D:/ANPR-main/result_data\vid1\Licenseplate_273_0.jpg,9.0,30g-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_274_0.jpg,9.0,"30g-999,.99"
1,D:/ANPR-main/result_data\vid1\Licenseplate_275_0.jpg,9.0,20g-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_276_0.jpg,9.0,20g-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_277_0.jpg,9.0,20g-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_278_0.jpg,9.0,30g+999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_279_0.jpg,9.0,3og-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_280_0.jpg,9.0,130g-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_281_0.jpg,9.0,30g-999.99
1,D:/ANPR-main/result_data\vid1\Licenseplate_282_0.jpg,9.0,"306-999,99"
1,D:/ANPR-main/result_data\vid1\Licenseplate_283_0.jpg,9.0,30k.15143
1,D:/ANPR-main/result_data\vid1\Licenseplate_284_0.jpg,9.0,30k.153.43
1,D:/ANPR-main/result_data\vid1\Licenseplate_285_0.jpg,9.0,30K.153.43
1,D:/ANPR-main/result_data\vid1\Licenseplate_286_0.jpg,9.0,30K.153.43
1,D:/ANPR-main/result_data\vid1\Licenseplate_287_0.jpg,9.0,30k.15343
1,D:/ANPR-main/result_data\vid1\Licenseplate_288_0.jpg,9.0,30k.15343
1,D:/ANPR-main/result_data\vid1\Licenseplate_289_0.jpg,9.0,30K.15343
1,D:/ANPR-main/result_data\vid1\Licenseplate_290_0.jpg,9.0,30K .45343
1,D:/ANPR-main/result_data\vid1\Licenseplate_291_0.jpg,9.0,30k.15143
1,D:/ANPR-main/result_data\vid1\Licenseplate_292_0.jpg,9.0,30K .15343
1,D:/ANPR-main/result_data\vid1\Licenseplate_293_0.jpg,9.0,30k.15343
1,D:/ANPR-main/result_data\vid1\Licenseplate_294_0.jpg,9.0,30K.453.43
1,D:/ANPR-main/result_data\vid1\Licenseplate_295_0.jpg,9.0,30K.153.43
1,D:/ANPR-main/result_data\vid1\Licenseplate_296_0.jpg,9.0,30K.153.43
1,D:/ANPR-main/result_data\vid1\Licenseplate_297_0.jpg,9.0,30K.153.43
1,D:/ANPR-main/result_data\vid1\Licenseplate_298_0.jpg,9.0,30k.153.43
1,D:/ANPR-main/result_data\vid1\Licenseplate_299_0.jpg,9.0,3K.153.43
1,D:/ANPR-main/result_data\vid1\Licenseplate_300_0.jpg,10.0,30K.15343
